Waktu,ID_Armada,Tipe,Aksi,Lokasi,Muatan_kg,Jarak_Tempuh,Total_Jarak_Sementara,Pesan_Log
13:00,Gerobak_5,Gerobak,Patroli Lewat,RU_26,0,3,73,Melewati persimpangan
13:00,Gerobak_6,Gerobak,Patroli Lewat,RG_8,0,1,71,Melewati persimpangan
13:01,Truk_2,Truk,Patroli Lewat,RU_39,0,3,78,Melewati persimpangan
13:02,Truk_3,Truk,Patroli Lewat,RU_51,0,2,55,Melewati persimpangan
13:03,Gerobak_6,Gerobak,Patroli Lewat,RG_7,0,1,72,Melewati persimpangan
13:03,Gerobak_7,Gerobak,Patroli Lewat,RU_54,0,2,73,Melewati persimpangan
13:04,Truk_1,Truk,Patroli Lewat,RU_59,0,2,78,Melewati persimpangan
13:04,Truk_2,Truk,Patroli Lewat,RU_38,0,2,80,Melewati persimpangan
13:05,Truk_3,Truk,Patroli Lewat,RU_52,0,2,57,Melewati persimpangan
13:06,Gerobak_6,Gerobak,Patroli Lewat,RG_6,0,1,73,Melewati persimpangan
13:07,Truk_1,Truk,Patroli Lewat,RU_60,0,2,80,Melewati persimpangan
13:07,Truk_2,Truk,Patroli Lewat,RU_39,0,2,82,Melewati persimpangan
13:08,Truk_3,Truk,Patroli Lewat,RU_53,0,2,59,Melewati persimpangan
13:09,Gerobak_5,Gerobak,Ambil Sampah,RU_27,1,2,75,Intercept sampah! Sisa kapasitas: 14kg
13:09,Gerobak_6,Gerobak,Patroli Lewat,RG_5,0,1,74,Melewati persimpangan
